,Volume m3,Ground Surface m2,Amount Buildings,Surface Build %,Surface Total,Inset 1,Inset 2,Inset 3,Inset 4,Inset 5,Inset 6,Inset 7,Inset 8,Inset 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Height 7,Height 8,Height 9,Roof 1,Roof 2,Roof 3,Roof 4,Roof 5,Roof 6,Roof 7,Roof 8,Roof 9,SL %,SVF %
1624,3884.39,462.47,8,28.9,3000.58,0.8,0.0,0.35,0.73,0.38,0.69,0.65,0.34,0.39,3.44,0.0,9.9,9.68,13.97,8.75,13.18,7.16,4.81,1,0,1,0,0,1,1,1,1,51.3,55.58
1625,5342.92,630.22,8,39.4,3611.34,0.37,0.69,0.0,0.68,0.9,0.64,0.86,0.56,0.44,8.16,13.0,0.0,5.04,9.41,12.82,6.76,6.79,2.06,1,1,0,0,1,0,0,1,1,48.73,51.49
1626,2034.57,213.67,4,13.4,1595.54,0.61,0.0,0.0,0.0,0.67,0.0,0.0,0.54,0.3,11.27,0.0,0.0,0.0,5.1,0.0,0.0,13.08,12.85,1,0,0,0,1,0,0,0,1,73.3,75.13
1627,1650.65,134.77,1,8.4,838.29,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.0,0.0,0,0,0,0,0,0,0,0,0,93.15,90.72
1628,4039.49,399.22,6,25.0,2778.34,0.0,0.72,0.73,0.55,0.64,0.61,0.0,0.0,0.31,0.0,5.49,13.6,8.11,12.15,11.04,0.0,0.0,9.72,0,1,1,0,0,1,0,0,1,56.2,63.49
1629,1559.53,258.68,3,16.2,1167.58,0.35,0.0,0.0,0.0,0.0,0.75,0.88,0.0,0.0,6.79,0.0,0.0,0.0,0.0,6.11,5.84,0.0,0.0,1,0,0,0,0,0,0,0,0,80.05,80.63
1630,3794.27,531.18,8,33.2,3049.14,0.54,0.5,0.77,0.67,0.55,0.51,0.49,0.77,0.0,5.46,10.41,4.7,11.09,11.89,7.09,7.77,3.41,0.0,1,0,0,1,1,1,0,1,0,46.34,52.89
1631,1276.95,101.17,1,6.3,710.16,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,87.46,89.41
1632,468.64,36.22,1,2.3,383.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,0,0,0,0,0,0,0,0,0,96.57,93.99
1633,1175.02,104.84,2,6.6,872.55,0.0,0.0,0.58,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,9.05,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,82.1,86.18
